"sampleID";"number_raw_reads";"number_trimmed_reads";"uniquely_mapped_reads";"percentage_mapped_reads"
"INFG_010";57708857;57600224;54983948;95,46
"INFG_011";47251328;47149598;43040000;91,28
"INFG_012";52563625;52536342;49481880;94,19
"INFG_013";47853751;47812399;45552166;95,27
"INFG_014";56350161;56179827;53802003;95,77
"INFG_015";54747727;54683981;52364542;95,76
"INFG_019";53270713;53200201;49813656;93,63
"INFG_020";47677762;47626431;45408479;95,34
"INFG_021";59325662;59199108;55611857;93,94
"INFG_022";53746530;53687745;50507271;94,08
"INFG_023";57065104;57028509;54677231;95,88
"INFG_024";45972069;45951655;43467950;94,59
"INFG_026";50815643;50765800;48611129;95,76
"INFG_027";52612470;52550541;50199727;95,53
"INFG_028";49688978;49660317;47464496;95,58
"INFG_029";51978739;51961608;49863235;95,96
"INFG_030";47960682;47950993;45641643;95,18
"INFG_031";52971983;52949398;50543480;95,46
"INFG_032";53578085;53522534;51147517;95,56
"INFG_033";65073896;64996404;62007862;95,4
"INFG_035";52429830;52399505;49973412;95,37
"INFG_036";52779949;52742592;50538503;95,82
"INFG_037";54496500;54454938;51709467;94,96
"INFG_042";45998242;45963035;43652032;94,97
"INFG_043";41759382;41732834;39598156;94,88
"INFG_044";55621346;55570158;52990915;95,36
"INFG_045";47133130;47112015;45061901;95,65
"INFG_046";51305315;51258355;48661566;94,93
"INFG_048";44224206;44200574;42300279;95,7
"INFG_050";45681104;45637452;43397018;95,09
"INFG_051";52423646;52361164;49889397;95,28
"INFG_052";50398619;50356749;48135261;95,59
"INFG_053";44139830;44085844;42234286;95,8
"INFG_055";54425800;54348160;51692504;95,11
"INFG_056";58437478;58400551;55782130;95,52
"INFG_059";51980492;51929213;49460842;95,25
"INFG_060";48488154;48471307;46380720;95,69
"INFG_061";53182030;53117721;50770240;95,58
"INFG_062";46940558;46918417;44712231;95,3
"INFG_063";46970492;46951765;44566896;94,92
"INFG_064";57093074;57018184;54154524;94,98
"INFG_065";52774426;52610802;49866506;94,78
"INFG_066";49685553;49643082;46821855;94,32
"INFG_067";53770733;53705273;50986106;94,94
"INFG_068";59080459;59031831;56221683;95,24
"INFG_070";53463074;53428868;51231572;95,89
"INFG_072";50119522;50089957;47312560;94,46
"INFG_073";48381552;48355462;45546724;94,19
"INFG_075";46946387;46903677;44865295;95,65
"INFG_076";53635907;53430876;50918318;95,3
"INFG_078";42525350;42506079;40522881;95,33
"INFG_080";51442477;51399398;49064060;95,46
"INFG_HIRE_020";48319658;48243097;46217742;95,8
"INFG_HIRE_021";42104555;42002327;40376552;96,13
"INFG_HIRE_023";43744021;43708819;42017264;96,13
"INFG_HIRE_024";48002896;47836620;46010882;96,18
"INFG_HIRE_026";51210522;51182361;49059693;95,85
"INFG_HIRE_027";49547672;49437748;47401929;95,88
"INFG_HIRE_028";51279796;51150953;48959166;95,72
"INFG_HIRE_029";47049254;47007475;44919005;95,56
"INFG_HIRE_031";49044905;49010358;47084319;96,07
"INFG_HIRE_032";48015889;47940116;45561421;95,04
